name,address,latitude,longitude,ports_250kw,ports_180kw,ports_150kw,ports_120kw,ports_80kw,ports_60kw,ports_40kw,ports_ac,operatingHours,parking,stationType,status
Nhuong quyen - Ho kinh doanh Ha Thi Xuan Thanh,"Phu Xuyen District, Hanoi",20.785429,105.919281,0,0,0,4,0,2,0,0,24/7,Paid,Public,active
Vincom Plaza Long Bien,"Hoa Phuong Street, Vinhomes Riverside, Long Bien District, Hanoi City",21.05052,105.91581,4,0,0,8,0,0,0,1,24/7,Paid,Public,active
Vincom Mega Mall Ocean Park,"Ocean Park Shopping Mall Parking Lot, Vinhomes Ocean Park, Kieu Ky Commune, Gia Lam District, Hanoi City",20.994547,105.959602,5,0,0,0,0,4,0,0,24/7,Paid,Public,active
Vincom Mega Mall Smart City,"Outdoor parking lot beside Vincom Mega Mall Smart City, Nam Tu Liem District, Hanoi City",21.006189,105.753479,1,0,0,0,0,8,1,1,24/7,Paid,Public,active
Lan Chi Supermarket Ba Vi,"Lan Chi Supermarket Ba Vi, National Highway 32, Vat Lai Commune, Ba Vi District, Hanoi City",21.206345,105.416,1,0,0,0,0,0,4,2,24/7,Paid,Public,active
Big C Thang Long Shopping Center,"Big C Thang Long Parking Lot, 222 Tran Duy Hung Street, Trung Hoa Ward, Cau Giay District, Hanoi City",21.006773,105.793716,3,0,0,2,0,4,0,4,08:00-22:00,Paid,Public,active
Gamuda City Yen So Park Parking Lot,"Gamuda City, Yen So Park Parking Lot, National Highway 1A, Thinh Liet Ward, Hoang Mai District, Hanoi City",20.964708,105.853188,1,0,0,0,0,10,0,0,00:00-23:59 (Closed on Sunday),Paid,Public,active
CT04 V52 Rest Stop (Hanoi–Hai Phong Direction),"CT04 V52 Rest Stop, Hanoi–Hai Phong Direction, Hoang Dieu Commune, Gia Loc District, Hai Duong Province",20.857233,106.332809,5,0,0,0,0,10,0,0,24/7,Paid,Public,active
CT04 V52 Rest Stop (Hai Phong–Hanoi Direction),"CT04 V52 Rest Stop, Hai Phong–Hanoi Direction, Hoang Dieu Commune, Gia Loc District, Hai Duong Province",20.859716,106.335342,5,0,0,4,0,6,0,0,24/7,Paid,Public,active
CT04 PK77 Rest Stop (Hanoi–Hai Phong Direction),"CT04 PK77 Rest Stop, Hanoi–Hai Phong Direction, Quoc Tuan Commune, An Lao District, Hai Phong City",20.792961,106.547485,10,0,0,0,0,8,0,0,24/7,Paid,Public,active
Parking Lot of Inspection Station 29.15D,"National Highway 1A, km21, Ha Hoi Commune, Thuong Tin District, Hanoi City",20.857622,105.869469,1,0,0,0,0,14,0,0,24/7,Paid,Public,active
CT04 Expressway Km24 Rest Stop (Hanoi–Hai Phong Direction),"CT04 Expressway Km24, Hanoi–Hai Phong Direction, Tan Viet Commune, Yen My District, Hung Yen Province",20.845188,106.059273,15,0,0,0,0,14,0,0,24/7,Paid,Public,active
Vincom Center Pham Ngoc Thach,"2 Pham Ngoc Thach Street, Dong Da District, Hanoi City",21.006107,105.831696,3,0,0,0,0,12,1,0,24/7,Paid,Public,active
VinFast Phan Trong Tue Auto Dealer,"443 Phan Trong Tue Street, Thanh Liet Commune, Thanh Tri District, Hanoi City",20.952042,105.817986,1,0,0,0,0,10,0,0,24/7,Paid,Public,active
Son Ha Company Parking Lot,"8 Quang Trung Street, Quang Trung Ward, Ha Dong District, Hanoi City",20.972666,105.777496,1,0,0,4,0,8,0,0,24/7,Paid,Public,active
